商品编码,品名,划线价,销售价,税费,利润,高级会员,蓝钻会员,红钻
zrrh1000020,日本树之惠本铺中村足美人足贴薰衣草15对30片,0,110.09,11.09,7,0.07,0.14,0.21
zrmyznk1000037,日本原装进口Goo.n大王维E系列拉拉裤L44(女宝),0,110.09,11.09,11.8,0.12,0.24,0.35
zrmyznk1000038,日本原装进口Goo.n大王维E系列拉拉裤L44(女宝) 2包装,0,209.06,21.06,12.82,0.13,0.26,0.38
zrmyznk1000039,日本Goo.n大王拉拉裤L44片男宝婴儿尿不湿学步裤9-14kg,0,110.09,11.09,11.8,0.12,0.24,0.35
zrmyznk1000040,日本Goo.n大王拉拉裤L44片男宝婴儿尿不湿学步裤9-14kg 两包装,0,209.06,21.06,22.82,0.23,0.46,0.68
HH00000102,意大利 Armani阿玛尼 黑管唇釉 #601,0,354.73,35.73,20.81,0.21,0.42,0.62
zrmyznk1000043,日本Goo.n大王维E拉拉裤 男宝 XL38 3包装,0,305.8,30.8,22.9,0.23,0.46,0.69
zrmyznk1000044,日本Goo.n大王维E拉拉裤 男宝 XL38  4包装,0,405.88,40.88,28.68,0.29,0.57,0.86
HH00000345,澳洲Freezeframe 脂肪燃烧油100ml,0,272.44,27.44,22.58,0.23,0.45,0.68
HH00000497,澳洲Swisse铁元补血补铁口服液  500ml/瓶,0,150.12,15.12,10.01,0.10,0.20,0.30
zrbj000044,美国Puritan's Pride普丽普莱氨糖营养片240片,0,173.47,17.47,15.27,0.15,0.31,0.46
HH00000280,日本G.OON大王维E系列拉拉裤XXL38女,0,375.86,37.86,40.22,0.40,0.80,1.21
