商品编码,"商城
销售价","商城
基础佣金"
zrhz1000146,106,8.78
HH00000294,255,23.57
HH00000295,266,23.76
HH00000296,76,9.38
HH00000297,95,11.06
HH00000301,58,4.29
zrhz1000122,298,13.86
zrrh1000076,73,8.23
HH00000303,76,5.35
HH00000304,65,9.99
HH00000305,120,13.34
HH00000310,65,6.77
HH00000311,65,6.77
HH00000098,72,11.87
zrhz1000173,284,17.63
HH00000314,83,4.55
HH00000315,198,17.2
HH00000317,87,5.85
HH00000318,43,6
HH00000319,76,8.22
HH00000320,72,8.25
HH00000321,187,12.02
HH00000322,220,24.26
zrrh1000042,39,7.29
ZRMYYP100043,142,16.53
zrbj000011,95,8.69
zrbj000021,98,20.65
HH00000013,220,10.21
zrbj000042,106,18.25
zrhz1000086,53,2.52
HH00000331,695,38.05
HH00000333,176,15.43
zrhz1000054,83,13.33
zrmynf1000074,142,9.68
HH00000335,42,7.63
HH00000336,165,16.89
HH00000338,165,16.89
HH00000339,98,7.33
HH00000340,47,2.82
HH00000342,72,6.23
HH00000343,298,17.48
HH00000344,32,5.68
HH00000346,95,9
HH00000348,53,2.14
HH00000349,88,12.35
zrrh1000027,128,17.23
zrrh1000034,95,7.39
zrmynf1000073,245,38.8
zrrh1000043,85,12.83
zrmynf1000075,266,18.92
HH00000118,77,10.92
HH00000036,220,20.23
HH00000361,166,18.63
HH00000362,72,5.04
HH00000363,83,8.05
HH00000368,76,13
HH00000377,83,11.77
HH00000379,72,9.21
HH00000380,42,4.58
HH00000384,83,16.12
HH00000386,69,5.83
HH00000391,109,8.4
HH00000398,98,12.13
HH00000402,72,7.23
HH00000403,53,4.19
HH00000404,53,4.19
HH00000405,53,4.19
HH00000408,98,9.75
HH00000410,120,21.38
HH00000411,86,11.96
HH00000412,50,5.46
HH00000414,88,8.09
HH00000415,220,17.41
HH00000416,50,8.37
HH00000418,32,2.77
HH00000419,32,2.99
HH00000420,153,14.09
HH00000423,53,3.39
HH00000425,87,33.33
HH00000427,165,16.89
HH00000428,117,9.21
HH00000430,120,11.12
HH00000432,176,14.24
HH00000433,128,13.43
HH00000434,120,13.3
HH00000435,142,9.88
HH00000438,389,32.85
HH00000441,221,18.47
HH00000442,509,60.94
HH00000444,98,10.31
HH00000445,72,8.73
HH00000447,1390,76.51
HH00000449,95,9.75
HH00000451,98,10.55
HH00000452,98,14.18
HH00000454,398,12.41
HH00000457,376,15.14
HH00000462,61,9.4
HH00000463,61,7.34
HH00000465,55,5.2
HH00000466,61,8.51
HH00000469,212,23.4
HH00000476,55,3.94
HH00000477,55,3.94
HH00000479,53,4.53
HH00000482,55,3.74
HH00000484,52,3.61
HH00000489,47,4.09
HH00000494,187,15.71
HH00000495,187,21.69
HH00000496,165,15.27
HH00000498,98,9.63
HH00000499,131,10.12
HH00000514,111,10.69
HH00000515,73,8.32
HH00000516,32,3.24
HH00000520,83,7.58
HH00000525,287,18.1
